along_strike_index,down_dip_index,cen_x,cen_y,cen_z
0,0,1561711.543383354,5159111.76121306,-29254.91514650915
0,1,1554397.3384496854,5165447.983942792,-26895.403074997957
0,2,1546883.5381350883,5171957.114158827,-26121.023316955474
0,3,1539346.6745461975,5178486.2238591835,-26711.51220443693
0,4,1531882.8284667735,5184952.07921989,-28258.74699493817
0,5,1524485.4539788645,5191360.350904332,-30302.64227757733
0,6,1517090.8369107726,5197766.2338635065,-32370.516045679113
1,0,1569015.1779687651,5166015.184489178,-28194.883026745207
1,1,1561629.9616221073,5172412.923697205,-26115.451666649104
1,2,1554086.1449482494,5178948.056785669,-25571.865514995177
1,3,1546551.58691664,5185475.169204767,-26310.762460863665
1,4,1539090.0561125455,5191939.018865564,-27886.87852098926
1,5,1531701.1575171591,5198339.947968912,-29985.91148471572
1,6,1524332.9264057407,5204722.973037184,-32212.29673939831
1,7,1516927.1069330038,5211138.560527691,-34189.892102513506
1,8,1509436.8565352177,5217627.289685848,-35516.484323027355
1,9,1501921.9227118255,5224137.401849238,-36504.75401917388
1,10,1494504.4299862008,5230563.101762209,-38196.64888776257
1,11,1487452.5693664511,5236672.058231295,-41541.76395955554
1,12,1481182.7924278323,5242103.503413526,-46854.474200858596
2,0,1576095.6393066132,5173111.940522131,-27422.57933761332
2,1,1568702.981248485,5179516.126410528,-25523.793524162586
2,2,1561173.1911162422,5186039.108445993,-25126.753042332988
2,3,1553646.1454191243,5192559.713004702,-25911.118155169883
2,4,1546196.7470087889,5199013.052493881,-27565.125222765135
2,5,1538817.710593154,5205405.4380893465,-29696.12032704355
2,6,1531471.0689046206,5211769.760456061,-32044.421853311593
2,7,1524082.875733898,5218170.078457063,-34138.85223002082
2,8,1516631.0323371657,5224625.536013555,-35741.31648573632
2,9,1509135.6979997521,5231118.669337868,-37005.96581594278
2,10,1501753.6778898453,5237513.6396779,-38912.85793976913
2,11,1494668.369198363,5243651.571877677,-42344.12897046029
2,12,1488340.4797531904,5249133.3593443055,-47789.18226411671
3,0,1583383.7025459458,5180028.853099937,-26374.696642380935
3,1,1575952.3074233525,5186466.596520639,-24756.11655232193
3,2,1568417.5797708626,5192993.855880612,-24518.35209280832
3,3,1560898.007054976,5199507.986670269,-25407.488119687423
3,4,1553455.4600222523,5205955.3908794075,-27097.248328331294
3,5,1546083.783606957,5212341.40058004,-29292.452213217497
3,6,1538758.4871013013,5218687.231827877,-31749.77146935615
3,7,1531402.3316759767,5225059.795849816,-34034.62912419285
3,8,1523995.77511958,5231476.02186854,-35968.3144791861
3,9,1516545.6027576486,5237930.031824262,-37634.26383085999
3,10,1509211.0822027484,5244283.853773893,-39841.520127041484
3,11,1502190.9133743625,5250365.355960443,-43514.27784128304
3,12,1495821.9525368088,5255882.723164349,-48727.79254583492
4,0,1590511.1669800244,5187084.89081977,-25073.468071689105
4,1,1583031.0422317563,5193564.848228817,-23857.951669476915
4,2,1575494.1937126953,5200093.944874331,-23846.23282097759
4,3,1567985.2011566872,5206598.910177087,-24858.8291416237
4,4,1560552.2226853333,5213038.025237017,-26637.56216583745
4,5,1553190.9741453268,5219415.001373369,-28890.470390782386
4,6,1545889.8703064367,5225739.874755459,-31459.29073752488
4,7,1538568.2526024862,5232082.519094097,-33936.70066742747
4,8,1531205.0607220836,5238461.178726838,-36167.57125888478
4,9,1523816.437975554,5244861.868865075,-38245.37186130527
4,10,1516532.2337083307,5251172.102316907,-40860.319477146644
4,11,1509514.072933663,5257251.864946562,-44496.09089646955
5,0,1597833.9575732427,5193971.719437526,-23914.973872515042
5,1,1590331.5088810725,5200471.015856355,-22976.480465113247
5,2,1582797.4298436088,5206997.713327604,-23140.854136331734
5,3,1575292.5134355028,5213499.147504118,-24240.70112682224
5,4,1567868.8900272085,5219930.158366294,-26066.23383022115
5,5,1560529.0397571316,5226288.597394986,-28435.077467204945
5,6,1553234.0676358095,5232608.158931348,-31039.447095714186
5,7,1545953.9345245971,5238914.865581362,-33712.21234360838
5,8,1538646.0431046374,5245245.618977184,-36244.5432379348
5,9,1531338.9749111386,5251575.6592201395,-38756.63431976948
5,10,1524110.3116459225,5257837.7780562965,-41647.53387641047
5,11,1517134.8452371913,5263880.554982881,-45438.890584524095
6,0,1604853.349937589,5201121.378912684,-22675.609180156836
6,1,1597335.4072243518,5207634.097647315,-22103.940162244053
6,2,1589798.25118586,5214163.460693842,-22461.46873531563
6,3,1582305.9958171975,5220653.9267382575,-23676.917714252246
6,4,1574892.8250181135,5227075.882609404,-25587.163735329836
6,5,1567557.3285110558,5233430.550016648,-27968.14965622284
6,6,1560285.1070613523,5239730.402873265,-30666.887534861016
6,7,1553056.61337363,5245992.374806132,-33576.878283249316
6,8,1545812.2799902037,5252268.068509288,-36415.969428440694
6,9,1538585.2977959164,5258528.731050479,-39322.306631200656
6,10,1531453.6377362867,5264706.816977842,-42601.64663075261
6,11,1524560.2334365542,5270678.504318477,-46662.241121968684
7,0,1612157.780579694,5208024.112572833,-21464.444516971045
7,1,1604626.5210739735,5214548.367511876,-21213.85066403441
7,2,1597088.6889227163,5221078.316268143,-21725.612720550227
7,3,1589602.3333831644,5227563.671349488,-23026.014348835914
7,4,1582197.49638586,5233978.407731334,-24986.591423445032
7,5,1574865.8176338233,5240329.767855508,-27390.693246169223
7,6,1567622.8585977287,5246604.270975289,-30239.444515989737
7,7,1560419.496610443,5252844.471566911,-33248.70121277891
7,8,1553242.1242872253,5259062.157571958,-36363.99235276632
7,9,1546112.5197309456,5265238.462837285,-39651.96522931587
7,10,1539122.1156243926,5271294.180142397,-43421.877535837586
7,11,1532288.7070339585,5277213.893798894,-47484.03779514437
8,0,1619309.1884583347,5215059.408325627,-20320.059334409576
8,1,1611762.3449359937,5221597.163542721,-20322.997196822344
8,2,1604238.1100828259,5228115.333095372,-21029.91490129381
8,3,1596757.88965766,5234595.373388358,-22415.624249395078
8,4,1589353.4626244528,5241009.754622399,-24377.104398336818
8,5,1582037.8500406444,5247347.196785397,-26848.663559761157
8,6,1574816.6560582323,5253602.845056413,-29793.216173560493
8,7,1567644.4243415915,5259816.077805292,-32933.198926183344
8,8,1560529.0543781256,5265980.051784942,-36302.8944280924
8,9,1553474.872756761,5272091.018914561,-39873.464351134506
8,10,1546538.8638638046,5278099.614189062,-43830.1391335979
8,11,1539762.3074742884,5283970.077351355,-48214.71663274331
9,0,1626640.0229908475,5221939.268559059,-19306.67220229872
9,1,1619098.5492533792,5228472.371985114,-19523.503744525675
9,2,1611577.6721843635,5234987.632722868,-20338.85570035652
9,3,1604102.5341384367,5241463.270201448,-21776.31254824099
9,4,1596707.6193768152,5247869.411049558,-23773.369220274824
9,5,1589391.2698381087,5254207.491629228,-26265.49273260142
9,6,1582173.399645904,5260460.260533962,-29218.214318144972
9,7,1575041.4447614262,5266638.601865148,-32498.37946294762
9,8,1567992.6703498221,5272744.884782922,-36085.92694004715
9,9,1561024.8718489988,5278781.019077421,-39939.41229085917
9,10,1554158.8273400688,5284729.004904366,-44106.8931469673
9,11,1547445.7318050147,5290544.492561852,-48662.2818549994
10,0,1633873.8929123487,5228903.1282671895,-18252.98960705282
10,1,1626328.513764938,5235439.614910897,-18697.68676848749
10,2,1618809.3351756455,5241953.40427262,-19667.43809771284
10,3,1611334.782515217,5248428.534637585,-21133.918980582373
10,4,1603933.4241244239,5254840.257537331,-23142.595411128124
10,5,1596621.721871367,5261174.312219828,-25666.54846690096
10,6,1589427.3823606493,5267406.696730055,-28711.576766085313
10,7,1582310.3748428603,5273572.08930667,-32050.27042428967
10,8,1575340.9235283907,5279609.655417134,-35915.011394210786
10,9,1568461.304550997,5285569.400670621,-40022.98939199505
10,10,1561650.7672397832,5291469.30116621,-44329.12679363933
10,11,1554930.8604869756,5297290.689313652,-48883.97214713444
11,0,1641098.3205151176,5235875.167761793,-17645.627447958715
11,1,1633555.1087760727,5242409.776801267,-18175.964695222377
11,2,1626041.3461627206,5248918.87435709,-19161.941849918123
11,3,1618571.9492492357,5255389.5383499395,-20666.424086773524
11,4,1611165.3075743536,5261805.838105958,-22616.360706111405
11,5,1603856.206403065,5268137.639497281,-25142.059852192822
11,6,1596652.590043924,5274378.060448702,-28125.15526095424
11,7,1589581.397553627,5280503.7639242895,-31640.219646738133
11,8,1582626.4284752125,5286528.784218208,-35550.273059679326
11,9,1575814.4326311566,5292429.948226241,-39847.510076846556
11,10,1569081.965110519,5298262.217641483,-44382.26153400948
11,11,1562477.7582502523,5303983.376126836,-49212.09711288066
12,0,1648160.7365485127,5242987.55626188,-17090.9651231065
12,1,1640620.939885102,5249519.206855418,-17701.557176217193
12,2,1633106.3061666738,5256029.059040874,-18725.864143156323
12,3,1625635.8582899324,5262500.633472703,-20221.1036581108
12,4,1618235.1757623972,5268911.770878854,-22216.028175935502
12,5,1610922.9232609095,5275246.302236075,-24717.05324335891
12,6,1603718.7789814593,5281487.180519591,-27721.759203056114
12,7,1596659.8999590199,5287602.216960875,-31267.95761161229
12,8,1589747.2826571371,5293590.548333505,-35303.88133560463
12,9,1582968.4831917414,5299462.9546500435,-39696.67945835706
12,10,1576305.634907439,5305234.91361573,-44413.15821960911
12,11,1569700.5922452162,5310956.796147975,-49248.5388633556
13,0,1655430.8355211085,5249920.031104656,-16617.210721329284
13,1,1647890.8549371716,5256451.84102671,-17254.613928996696
13,2,1640374.2470559068,5262963.403409727,-18269.083277324116
13,3,1632901.9043104737,5269436.61934739,-19746.927595447603
13,4,1625493.356621226,5275854.570264629,-21706.130684775682
13,5,1618168.9163079383,5282199.659801564,-24154.398936758505
13,6,1610966.3619356577,5288439.160764368,-27168.697143000816
13,7,1603912.3584511464,5294549.973575809,-30733.322646176388
13,8,1597016.0523720304,5300524.17469896,-34817.48976493863
13,9,1590280.9308650657,5306358.743236068,-39327.09852065093
13,10,1583618.5206118443,5312130.3227397995,-44039.52670405819
13,11,1577041.67052187,5317827.782328101,-48937.9842288362
14,0,1662888.9966434129,5256689.589584219,-16249.81541601514
14,1,1655347.766329908,5263222.482134525,-16876.266941285146
14,2,1647828.560858781,5269736.294783712,-17875.35319963369
14,3,1640352.0905657096,5276213.086374697,-19300.98568255977
14,4,1632931.562984987,5282641.415352347,-21185.410897175363
14,5,1625612.5524054922,5288981.801165093,-23667.038385281092
14,6,1618398.9788271259,5295230.847956144,-26633.802753291242
14,7,1611341.4872340648,5301344.682481207,-30167.407421777676
14,8,1604422.5811256156,5307338.461784194,-34173.672236736515
14,9,1597687.123251582,5313173.321712736,-38679.78753418105
14,10,1591061.6059257968,5318912.941241665,-43478.93411290657
14,11,1584520.0349295062,5324579.838903234,-48458.67897399289
15,0,1669954.7746049948,5263799.065679474,-15992.184911187504
15,1,1662411.662404746,5270333.588489482,-16598.844350877185
15,2,1654892.625633327,5276847.254995796,-17591.222963607608
15,3,1647410.9764836766,5283328.532978544,-18989.48657131409
15,4,1639997.5162251524,5289750.739605514,-20905.169763113616
15,5,1632659.2926873467,5296107.769412276,-23280.98053121981
15,6,1625427.6853612526,5302372.438658987,-26174.617420133316
15,7,1618354.7060352932,5308499.690052474,-29679.27793742658
15,8,1611472.043839056,5314462.0716160685,-33784.92601600055
15,9,1604728.3635671267,5320304.054525838,-38289.08891443086
15,10,1598140.6862228275,5326010.893656493,-43189.98287590715
15,11,1591549.5056681838,5331720.767583303,-48064.03884762154
16,0,1677263.7035827192,5270697.902476375,-15763.651311051173
16,1,1669718.5909601217,5277234.158232298,-16330.346551934148
16,2,1662197.571291352,5283749.542502795,-17294.99824385865
16,3,1654709.5042363883,5290236.380252858,-18637.404002966865
16,4,1647284.9652025513,5296668.184312303,-20490.33950745856
16,5,1639939.7815190584,5303031.243623803,-22842.57731427569
16,6,1632724.8018501652,5309281.5084970435,-25808.07876770481
16,7,1625632.9975798856,5315425.0677519,-29230.228037718687
