# along_strike_index, down_dip_index, cen_x, cen_y, cen_z
0.000000 0.000000 1561711.543383 5159111.761213 -29254.915147
0.000000 1.000000 1554397.338450 5165447.983943 -26895.403075
0.000000 2.000000 1546883.538135 5171957.114159 -26121.023317
0.000000 3.000000 1539346.674546 5178486.223859 -26711.512204
0.000000 4.000000 1531882.828467 5184952.079220 -28258.746995
0.000000 5.000000 1524485.453979 5191360.350904 -30302.642278
0.000000 6.000000 1517090.836911 5197766.233864 -32370.516046
1.000000 0.000000 1569015.177969 5166015.184489 -28194.883027
1.000000 1.000000 1561629.961622 5172412.923697 -26115.451667
1.000000 2.000000 1554086.144948 5178948.056786 -25571.865515
1.000000 3.000000 1546551.586917 5185475.169205 -26310.762461
1.000000 4.000000 1539090.056113 5191939.018866 -27886.878521
1.000000 5.000000 1531701.157517 5198339.947969 -29985.911485
1.000000 6.000000 1524332.926406 5204722.973037 -32212.296739
1.000000 7.000000 1516927.106933 5211138.560528 -34189.892103
1.000000 8.000000 1509436.856535 5217627.289686 -35516.484323
1.000000 9.000000 1501921.922712 5224137.401849 -36504.754019
1.000000 10.000000 1494504.429986 5230563.101762 -38196.648888
1.000000 11.000000 1487452.569366 5236672.058231 -41541.763960
1.000000 12.000000 1481182.792428 5242103.503414 -46854.474201
2.000000 0.000000 1576095.639307 5173111.940522 -27422.579338
2.000000 1.000000 1568702.981248 5179516.126411 -25523.793524
2.000000 2.000000 1561173.191116 5186039.108446 -25126.753042
2.000000 3.000000 1553646.145419 5192559.713005 -25911.118155
2.000000 4.000000 1546196.747009 5199013.052494 -27565.125223
2.000000 5.000000 1538817.710593 5205405.438089 -29696.120327
2.000000 6.000000 1531471.068905 5211769.760456 -32044.421853
2.000000 7.000000 1524082.875734 5218170.078457 -34138.852230
2.000000 8.000000 1516631.032337 5224625.536014 -35741.316486
2.000000 9.000000 1509135.698000 5231118.669338 -37005.965816
2.000000 10.000000 1501753.677890 5237513.639678 -38912.857940
2.000000 11.000000 1494668.369198 5243651.571878 -42344.128970
2.000000 12.000000 1488340.479753 5249133.359344 -47789.182264
3.000000 0.000000 1583383.702546 5180028.853100 -26374.696642
3.000000 1.000000 1575952.307423 5186466.596521 -24756.116552
3.000000 2.000000 1568417.579771 5192993.855881 -24518.352093
3.000000 3.000000 1560898.007055 5199507.986670 -25407.488120
3.000000 4.000000 1553455.460022 5205955.390879 -27097.248328
3.000000 5.000000 1546083.783607 5212341.400580 -29292.452213
3.000000 6.000000 1538758.487101 5218687.231828 -31749.771469
3.000000 7.000000 1531402.331676 5225059.795850 -34034.629124
3.000000 8.000000 1523995.775120 5231476.021869 -35968.314479
3.000000 9.000000 1516545.602758 5237930.031824 -37634.263831
3.000000 10.000000 1509211.082203 5244283.853774 -39841.520127
3.000000 11.000000 1502190.913374 5250365.355960 -43514.277841
3.000000 12.000000 1495821.952537 5255882.723164 -48727.792546
4.000000 0.000000 1590511.166980 5187084.890820 -25073.468072
4.000000 1.000000 1583031.042232 5193564.848229 -23857.951669
4.000000 2.000000 1575494.193713 5200093.944874 -23846.232821
4.000000 3.000000 1567985.201157 5206598.910177 -24858.829142
4.000000 4.000000 1560552.222685 5213038.025237 -26637.562166
4.000000 5.000000 1553190.974145 5219415.001373 -28890.470391
4.000000 6.000000 1545889.870306 5225739.874755 -31459.290738
4.000000 7.000000 1538568.252602 5232082.519094 -33936.700667
4.000000 8.000000 1531205.060722 5238461.178727 -36167.571259
4.000000 9.000000 1523816.437976 5244861.868865 -38245.371861
4.000000 10.000000 1516532.233708 5251172.102317 -40860.319477
4.000000 11.000000 1509514.072934 5257251.864947 -44496.090896
5.000000 0.000000 1597833.957573 5193971.719438 -23914.973873
5.000000 1.000000 1590331.508881 5200471.015856 -22976.480465
5.000000 2.000000 1582797.429844 5206997.713328 -23140.854136
